area_type,availability,location,size,society,total_sqft,bath,balcony,price,total_sqft_clean,bhk,location_clean,price_per_sqft,sqft_per_bhk,location_encoded,bath_per_bhk,area_type_encoded,latitude,longitude,location_label
Super built-up  Area,Ready To Move,2nd Block Bel Layout,3 BHK,,1625,3.0,3.0,92.0,1625.0,3.0,2Nd Block Bel Layout,5661.538461538462,541.6666666666666,Other,1.0,1,12.991076,77.592935,146
Built-up  Area,Ready To Move,2nd Block Hrbr Layout,3 BHK,Raaden ,1480,3.0,2.0,90.0,1480.0,3.0,2Nd Block Hrbr Layout,6081.081081081081,493.3333333333333,Other,1.0,2,13.0154,77.65,146
Super built-up  Area,Ready To Move,2nd Block Hrbr Layout,3 BHK,,1480,3.0,2.0,90.0,1480.0,3.0,2Nd Block Hrbr Layout,6081.081081081081,493.3333333333333,Other,1.0,1,13.0154,77.65,146
Super built-up  Area,18-Jul,2nd Block Hrbr Layout,3 BHK,,1550,3.0,3.0,110.0,1550.0,3.0,2Nd Block Hrbr Layout,7096.774193548387,516.6666666666666,Other,1.0,1,13.0154,77.65,146
Built-up  Area,Ready To Move,2nd Block Jayanagar,2 BHK,,1000,2.0,1.0,97.0,1000.0,2.0,2Nd Block Jayanagar,9700.0,500.0,Other,1.0,2,12.925,77.582,146
Super built-up  Area,Ready To Move,2nd Phase JP Nagar,5 BHK,,2800,4.0,2.0,200.0,2800.0,5.0,2Nd Phase Jp Nagar,7142.857142857143,560.0,Other,0.8,1,12.9064,77.5857,146
Super built-up  Area,Ready To Move,2nd Phase JP Nagar,2 BHK,Gintsar,1000,1.0,1.0,55.0,1000.0,2.0,2Nd Phase Jp Nagar,5500.0,500.0,Other,0.5,1,12.9064,77.5857,146
Built-up  Area,Ready To Move,2nd Phase JP Nagar,2 BHK,,1040,2.0,2.0,78.0,1040.0,2.0,2Nd Phase Jp Nagar,7500.0,520.0,Other,1.0,2,12.9064,77.5857,146
Super built-up  Area,Ready To Move,2nd Phase JP Nagar,2 BHK,Sharlth,850,2.0,1.0,42.5,850.0,2.0,2Nd Phase Jp Nagar,5000.0,425.0,Other,1.0,1,12.9064,77.5857,146
Super built-up  Area,Ready To Move,2nd Phase Judicial Layout,3 BHK,,1450,2.0,1.0,50.75,1450.0,3.0,2Nd Phase Judicial Layout,3500.0,483.3333333333333,Other,0.6666666666666666,1,13.126426,77.690378,146
Super built-up  Area,Ready To Move,2nd Phase Judicial Layout,2 BHK,,1150,2.0,1.0,40.25,1150.0,2.0,2Nd Phase Judicial Layout,3500.0,575.0,Other,1.0,1,13.126426,77.690378,146
Super built-up  Area,Ready To Move,2nd Phase Judicial Layout,3 BHK,,1350,2.0,2.0,47.25,1350.0,3.0,2Nd Phase Judicial Layout,3500.0,450.0,Other,0.6666666666666666,1,13.126426,77.690378,146
Super built-up  Area,Ready To Move,2nd Phase Judicial Layout,3 BHK,,1350,2.0,2.0,47.25,1350.0,3.0,2Nd Phase Judicial Layout,3500.0,450.0,Other,0.6666666666666666,1,13.126426,77.690378,146
Super built-up  Area,22-Jun,2nd Phase Judicial Layout,2 BHK,,900,2.0,2.0,41.0,900.0,2.0,2Nd Phase Judicial Layout,4555.555555555556,450.0,Other,1.0,1,13.126426,77.690378,146
Super built-up  Area,Ready To Move,2nd Phase Judicial Layout,3 BHK,,1681,3.0,3.0,69.0,1681.0,3.0,2Nd Phase Judicial Layout,4104.699583581201,560.3333333333334,Other,1.0,1,13.126426,77.690378,146
Super built-up  Area,Ready To Move,2nd Phase Judicial Layout,3 BHK,,1350,2.0,2.0,47.25,1350.0,3.0,2Nd Phase Judicial Layout,3500.0,450.0,Other,0.6666666666666666,1,13.126426,77.690378,146
Super built-up  Area,Ready To Move,2nd Phase Judicial Layout,2 BHK,,1150,2.0,1.0,40.25,1150.0,2.0,2Nd Phase Judicial Layout,3500.0,575.0,Other,1.0,1,13.126426,77.690378,146
Super built-up  Area,Ready To Move,2nd Stage Arekere Mico Layout,3 BHK,BrriaLu,2095,3.0,2.0,142.0,2095.0,3.0,2Nd Stage Arekere Mico Layout,6778.042959427207,698.3333333333334,Other,1.0,1,12.8857,77.603,146
Built-up  Area,Ready To Move,3rd Block HBR Layout,3 Bedroom,,2000,3.0,1.0,100.0,2000.0,3.0,3Rd Block Hbr Layout,5000.0,666.6666666666666,Other,1.0,2,12.937394,77.538375,146
Super built-up  Area,Ready To Move,3rd Block Hrbr Layout,2 BHK,Icncy R,1056,2.0,1.0,80.0,1056.0,2.0,3Rd Block Hrbr Layout,7575.757575757576,528.0,Other,1.0,1,13.0154,77.65,146
Built-up  Area,Ready To Move,3rd Block Hrbr Layout,2 BHK,Icncy R,1320,2.0,3.0,90.0,1320.0,2.0,3Rd Block Hrbr Layout,6818.181818181818,660.0,Other,1.0,2,13.0154,77.65,146
Built-up  Area,Ready To Move,3rd Block Hrbr Layout,2 BHK,Icncy R,1300,2.0,3.0,95.0,1300.0,2.0,3Rd Block Hrbr Layout,7307.692307692308,650.0,Other,1.0,2,13.0154,77.65,146
Built-up  Area,Ready To Move,3rd Block Hrbr Layout,3 BHK,,1650,3.0,2.0,140.0,1650.0,3.0,3Rd Block Hrbr Layout,8484.848484848484,550.0,Other,1.0,2,13.0154,77.65,146
Built-up  Area,Ready To Move,3rd Block Koramangala,3 BHK,,1750,3.0,3.0,170.0,1750.0,3.0,3Rd Block Koramangala,9714.285714285714,583.3333333333334,Other,1.0,2,12.9349,77.6175,146
Super built-up  Area,Ready To Move,3rd Phase Iti Layout,2 BHK,,1145,2.0,1.0,63.0,1145.0,2.0,3Rd Phase Iti Layout,5502.183406113537,572.5,Other,1.0,1,12.964924,77.53901,146
Built-up  Area,Ready To Move,3rd Phase JP Nagar,3 BHK,Shestth,1550,2.0,2.0,79.0,1550.0,3.0,3Rd Phase Jp Nagar,5096.774193548387,516.6666666666666,Other,0.6666666666666666,2,12.9064,77.5857,146
Built-up  Area,Ready To Move,3rd Phase JP Nagar,4 BHK,,4500,4.0,3.0,345.0,4500.0,4.0,3Rd Phase Jp Nagar,7666.666666666667,1125.0,Other,1.0,2,12.9064,77.5857,146
Built-up  Area,Ready To Move,3rd Stage Raja Rajeshwari Nagar,2 BHK,,1300,3.0,1.0,65.0,1300.0,2.0,3Rd Stage Raja Rajeshwari Nagar,5000.0,650.0,Other,1.5,2,12.820425,77.624784,146
Super built-up  Area,Ready To Move,4th Block Jayanagar,2 BHK,,900,2.0,1.0,70.0,900.0,2.0,4Th Block Jayanagar,7777.777777777777,450.0,Other,1.0,1,12.925,77.582,146
Built-up  Area,Ready To Move,4th Block Koramangala,3 BHK,,1800,3.0,3.0,140.0,1800.0,3.0,4Th Block Koramangala,7777.777777777777,600.0,Other,1.0,2,12.9349,77.6175,146
Built-up  Area,Ready To Move,4th Block Koramangala,4 Bedroom,,2400,5.0,3.0,180.0,2400.0,4.0,4Th Block Koramangala,7500.0,600.0,Other,1.25,2,12.9349,77.6175,146
Super built-up  Area,Ready To Move,4th Block Koramangala,2 BHK,,1269,2.0,2.0,97.0,1269.0,2.0,4Th Block Koramangala,7643.81402679275,634.5,Other,1.0,1,12.9349,77.6175,146
Super built-up  Area,18-Aug,4th Phase JP Nagar,2 BHK,,1070,2.0,2.0,38.9,1070.0,2.0,4Th Phase Jp Nagar,3635.5140186915887,535.0,Other,1.0,1,12.9064,77.5857,146
Super built-up  Area,18-Aug,4th Phase JP Nagar,2 BHK,,1080,2.0,2.0,38.0,1080.0,2.0,4Th Phase Jp Nagar,3518.5185185185187,540.0,Other,1.0,1,12.9064,77.5857,146
Super built-up  Area,Ready To Move,4th T block Jayanagar,3 BHK,,2401,3.0,2.0,185.0,2401.0,3.0,4Th T Block Jayanagar,7705.12286547272,800.3333333333334,Other,1.0,1,12.925,77.582,146
Built-up  Area,19-Mar,4th T block Jayanagar,4 BHK,,3900,4.0,2.0,333.0,3900.0,4.0,4Th T Block Jayanagar,8538.461538461539,975.0,Other,1.0,2,12.925,77.582,146
Built-up  Area,Ready To Move,4th T block Jayanagar,4 Bedroom,,1550,4.0,1.0,120.0,1550.0,4.0,4Th T Block Jayanagar,7741.935483870968,387.5,Other,1.0,2,12.925,77.582,146
Super built-up  Area,Ready To Move,4th T block Jayanagar,3 BHK,,2400,3.0,2.0,185.0,2400.0,3.0,4Th T Block Jayanagar,7708.333333333333,800.0,Other,1.0,1,12.925,77.582,146
Plot  Area,Ready To Move,5 Bedroom Farm House in Lakshmipura,5 Bedroom,,24Guntha,6.0,2.0,550.0,26136.0,5.0,5 Bedroom Farm House In Lakshmipura,2104.3771043771044,5227.2,Other,1.2,3,12.980047,77.525268,146
Super built-up  Area,Ready To Move,5th Block Hbr Layout,2 BHK,,1206,2.0,2.0,56.0,1206.0,2.0,5Th Block Hbr Layout,4643.449419568822,603.0,Other,1.0,1,12.911079,77.743339,146
Super built-up  Area,Ready To Move,5th Block Hbr Layout,3 BHK,,1270,2.0,2.0,70.0,1270.0,3.0,5Th Block Hbr Layout,5511.811023622047,423.3333333333333,Other,0.6666666666666666,1,12.911079,77.743339,146
Super built-up  Area,Ready To Move,5th Block Hbr Layout,2 BHK,,1312,2.0,3.0,69.0,1312.0,2.0,5Th Block Hbr Layout,5259.1463414634145,656.0,Other,1.0,1,12.911079,77.743339,146
Super built-up  Area,Ready To Move,5th Block Hbr Layout,2 BHK,,1100,2.0,2.0,48.0,1100.0,2.0,5Th Block Hbr Layout,4363.636363636364,550.0,Other,1.0,1,12.911079,77.743339,146
Built-up  Area,Ready To Move,5th Block Hbr Layout,6 BHK,,5100,5.0,3.0,300.0,5100.0,6.0,5Th Block Hbr Layout,5882.35294117647,850.0,Other,0.8333333333333334,2,12.911079,77.743339,146
Super built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,Mangsr ,1075,2.0,2.0,60.0,1075.0,2.0,5Th Phase Jp Nagar,5581.395348837209,537.5,5Th Phase Jp Nagar,1.0,1,12.9064,77.5857,1
Built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,Prenty ,1150,3.0,3.0,52.5,1150.0,2.0,5Th Phase Jp Nagar,4565.217391304348,575.0,5Th Phase Jp Nagar,1.5,2,12.9064,77.5857,1
Super built-up  Area,18-Aug,5th Phase JP Nagar,2 BHK,,1070,2.0,2.0,39.0,1070.0,2.0,5Th Phase Jp Nagar,3644.8598130841124,535.0,5Th Phase Jp Nagar,1.0,1,12.9064,77.5857,1
Built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,,1256,2.0,1.0,62.8,1256.0,2.0,5Th Phase Jp Nagar,5000.0,628.0,5Th Phase Jp Nagar,1.0,2,12.9064,77.5857,1
Super built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,,1207,2.0,2.0,63.0,1207.0,2.0,5Th Phase Jp Nagar,5219.552609776305,603.5,5Th Phase Jp Nagar,1.0,1,12.9064,77.5857,1
Built-up  Area,Ready To Move,5th Phase JP Nagar,3 BHK,Shlashi,1725,2.0,2.0,100.0,1725.0,3.0,5Th Phase Jp Nagar,5797.101449275362,575.0,5Th Phase Jp Nagar,0.6666666666666666,2,12.9064,77.5857,1
Super built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,,1440,2.0,2.0,60.0,1440.0,2.0,5Th Phase Jp Nagar,4166.666666666667,720.0,5Th Phase Jp Nagar,1.0,1,12.9064,77.5857,1
Super built-up  Area,Ready To Move,5th Phase JP Nagar,3 BHK,,1400,2.0,1.0,88.0,1400.0,3.0,5Th Phase Jp Nagar,6285.714285714285,466.6666666666667,5Th Phase Jp Nagar,0.6666666666666666,1,12.9064,77.5857,1
Super built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,Sorta S,1450,2.0,1.0,58.0,1450.0,2.0,5Th Phase Jp Nagar,4000.0,725.0,5Th Phase Jp Nagar,1.0,1,12.9064,77.5857,1
Built-up  Area,Ready To Move,5th Phase JP Nagar,3 BHK,,1700,2.0,3.0,100.0,1700.0,3.0,5Th Phase Jp Nagar,5882.35294117647,566.6666666666666,5Th Phase Jp Nagar,0.6666666666666666,2,12.9064,77.5857,1
Super built-up  Area,Ready To Move,5th Phase JP Nagar,3 BHK,MBncele,1485,2.0,2.0,67.0,1485.0,3.0,5Th Phase Jp Nagar,4511.784511784512,495.0,5Th Phase Jp Nagar,0.6666666666666666,1,12.9064,77.5857,1
Super built-up  Area,Ready To Move,5th Phase JP Nagar,5 BHK,,2500,5.0,2.0,110.0,2500.0,5.0,5Th Phase Jp Nagar,4400.0,500.0,5Th Phase Jp Nagar,1.0,1,12.9064,77.5857,1
Built-up  Area,Ready To Move,5th Phase JP Nagar,1 BHK,Shenshi,600,1.0,1.0,30.0,600.0,1.0,5Th Phase Jp Nagar,5000.0,600.0,5Th Phase Jp Nagar,1.0,2,12.9064,77.5857,1
Super built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,,1390,2.0,2.0,65.0,1390.0,2.0,5Th Phase Jp Nagar,4676.258992805755,695.0,5Th Phase Jp Nagar,1.0,1,12.9064,77.5857,1
Built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,,1256,2.0,1.0,62.8,1256.0,2.0,5Th Phase Jp Nagar,5000.0,628.0,5Th Phase Jp Nagar,1.0,2,12.9064,77.5857,1
Super built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,,1220,2.0,3.0,88.0,1220.0,2.0,5Th Phase Jp Nagar,7213.11475409836,610.0,5Th Phase Jp Nagar,1.0,1,12.9064,77.5857,1
Super built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,Maodser,1000,2.0,0.0,48.0,1000.0,2.0,5Th Phase Jp Nagar,4800.0,500.0,5Th Phase Jp Nagar,1.0,1,12.9064,77.5857,1
Super built-up  Area,Ready To Move,5th Phase JP Nagar,3 BHK,MBaleRo,1350,2.0,1.0,75.0,1350.0,3.0,5Th Phase Jp Nagar,5555.555555555556,450.0,5Th Phase Jp Nagar,0.6666666666666666,1,12.9064,77.5857,1
Super built-up  Area,Ready To Move,5th Phase JP Nagar,1 BHK,,552,1.0,1.0,23.5,552.0,1.0,5Th Phase Jp Nagar,4257.246376811594,552.0,5Th Phase Jp Nagar,1.0,1,12.9064,77.5857,1
Super built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,Saisena,1200,2.0,2.0,51.0,1200.0,2.0,5Th Phase Jp Nagar,4250.0,600.0,5Th Phase Jp Nagar,1.0,1,12.9064,77.5857,1
Super built-up  Area,Ready To Move,5th Phase JP Nagar,3 BHK,,1240,3.0,2.0,60.0,1240.0,3.0,5Th Phase Jp Nagar,4838.709677419355,413.3333333333333,5Th Phase Jp Nagar,1.0,1,12.9064,77.5857,1
Built-up  Area,Ready To Move,5th Phase JP Nagar,3 BHK,,1550,3.0,3.0,75.0,1550.0,3.0,5Th Phase Jp Nagar,4838.709677419355,516.6666666666666,5Th Phase Jp Nagar,1.0,2,12.9064,77.5857,1
Super built-up  Area,Ready To Move,5th Phase JP Nagar,3 BHK,MBncele,1485,2.0,1.0,66.0,1485.0,3.0,5Th Phase Jp Nagar,4444.444444444444,495.0,5Th Phase Jp Nagar,0.6666666666666666,1,12.9064,77.5857,1
Built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,Matonr ,1030,2.0,2.0,57.0,1030.0,2.0,5Th Phase Jp Nagar,5533.980582524272,515.0,5Th Phase Jp Nagar,1.0,2,12.9064,77.5857,1
Super built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,,1200,2.0,1.0,68.0,1200.0,2.0,5Th Phase Jp Nagar,5666.666666666667,600.0,5Th Phase Jp Nagar,1.0,1,12.9064,77.5857,1
Built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,Niaveha,1190,2.0,2.0,61.8,1190.0,2.0,5Th Phase Jp Nagar,5193.27731092437,595.0,5Th Phase Jp Nagar,1.0,2,12.9064,77.5857,1
Super built-up  Area,Ready To Move,5th Phase JP Nagar,5 BHK,,4000,5.0,2.0,170.0,4000.0,5.0,5Th Phase Jp Nagar,4250.0,800.0,5Th Phase Jp Nagar,1.0,1,12.9064,77.5857,1
Super built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,Maodser,1080,2.0,1.0,53.0,1080.0,2.0,5Th Phase Jp Nagar,4907.407407407408,540.0,5Th Phase Jp Nagar,1.0,1,12.9064,77.5857,1
Super built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,Mangsr ,1041,2.0,2.0,54.0,1041.0,2.0,5Th Phase Jp Nagar,5187.319884726225,520.5,5Th Phase Jp Nagar,1.0,1,12.9064,77.5857,1
Super built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,,812,2.0,1.0,42.0,812.0,2.0,5Th Phase Jp Nagar,5172.413793103448,406.0,5Th Phase Jp Nagar,1.0,1,12.9064,77.5857,1
Built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,Rewelav,1010,2.0,2.0,57.0,1010.0,2.0,5Th Phase Jp Nagar,5643.564356435643,505.0,5Th Phase Jp Nagar,1.0,2,12.9064,77.5857,1
Super built-up  Area,Ready To Move,5th Phase JP Nagar,3 BHK,NDncysi,1450,2.0,2.0,73.0,1450.0,3.0,5Th Phase Jp Nagar,5034.482758620689,483.3333333333333,5Th Phase Jp Nagar,0.6666666666666666,1,12.9064,77.5857,1
Super built-up  Area,Ready To Move,5th Phase JP Nagar,7 BHK,,2500,8.0,3.0,95.0,2500.0,7.0,5Th Phase Jp Nagar,3800.0,357.14285714285717,5Th Phase Jp Nagar,1.1428571428571428,1,12.9064,77.5857,1
Super built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,Mangsr ,1075,2.0,2.0,60.0,1075.0,2.0,5Th Phase Jp Nagar,5581.395348837209,537.5,5Th Phase Jp Nagar,1.0,1,12.9064,77.5857,1
Plot  Area,Ready To Move,5th Phase JP Nagar,4 Bedroom,,2400,4.0,1.0,228.0,2400.0,4.0,5Th Phase Jp Nagar,9500.0,600.0,5Th Phase Jp Nagar,1.0,3,12.9064,77.5857,1
Super built-up  Area,Ready To Move,5th Stage BEML Layout,3 BHK,,2000,3.0,2.0,85.0,2000.0,3.0,5Th Stage Beml Layout,4250.0,666.6666666666666,Other,1.0,1,13.031682,77.555439,146
Super built-up  Area,Ready To Move,5th Stage BEML Layout,3 BHK,,2000,3.0,2.0,85.0,2000.0,3.0,5Th Stage Beml Layout,4250.0,666.6666666666666,Other,1.0,1,13.031682,77.555439,146
Built-up  Area,Ready To Move,6th block Koramangala,2 BHK,Krone S,1117,2.0,1.0,110.0,1117.0,2.0,6Th Block Koramangala,9847.806624888093,558.5,Other,1.0,2,12.9349,77.6175,146
Super built-up  Area,Ready To Move,6th Block Rajaji Nagar,4 BHK,,3200,3.0,3.0,190.0,3200.0,4.0,6Th Block Rajaji Nagar,5937.5,800.0,Other,0.75,1,12.989,77.552,146
Super built-up  Area,Ready To Move,6th Phase JP Nagar,2 BHK,HMinebo,1192,2.0,2.0,74.0,1192.0,2.0,6Th Phase Jp Nagar,6208.053691275168,596.0,6Th Phase Jp Nagar,1.0,1,12.9064,77.5857,2
Super built-up  Area,Ready To Move,6th Phase JP Nagar,2 BHK,,1180,2.0,3.0,80.0,1180.0,2.0,6Th Phase Jp Nagar,6779.661016949152,590.0,6Th Phase Jp Nagar,1.0,1,12.9064,77.5857,2
Super built-up  Area,Ready To Move,6th Phase JP Nagar,4 BHK,,3245,4.0,2.0,250.0,3245.0,4.0,6Th Phase Jp Nagar,7704.160246533128,811.25,6Th Phase Jp Nagar,1.0,1,12.9064,77.5857,2
Built-up  Area,Ready To Move,6th Phase JP Nagar,3 BHK,,1645,3.0,3.0,100.0,1645.0,3.0,6Th Phase Jp Nagar,6079.0273556231,548.3333333333334,6Th Phase Jp Nagar,1.0,2,12.9064,77.5857,2
Super built-up  Area,Ready To Move,6th Phase JP Nagar,2 BHK,Vador S,1280,2.0,2.0,56.0,1280.0,2.0,6Th Phase Jp Nagar,4375.0,640.0,6Th Phase Jp Nagar,1.0,1,12.9064,77.5857,2
